artist,num,lead
ludacris,16,5
lil wayne,16,6
t-pain,14,5
rihanna,14,9
nelly,11,7
kanye west,11,3
jay-z,10,3
drake,10,4
puff daddy,9,6
nicki minaj,9,0
lil jon,9,3
justin timberlake,9,2
akon,9,3
50 cent,9,4
usher,8,5
snoop dogg,8,3
pitbull,8,5
ja rule,8,5
eminem,8,4
ciara,8,5
