3,6-Jan-90,Don t Know Much,linda ronstadt,aaron neville,,,
3,13-Jan-90,Don t Know Much,linda ronstadt,aaron neville,,,
3,27-Jan-90,Opposites Attract,paula abdul duet,the wild pair,,,
3,3-Feb-90,Opposites Attract,paula abdul duet,the wild pair,,,
3,10-Feb-90,Opposites Attract,paula abdul duet,the wild pair,,,
3,17-Feb-90,Opposites Attract,paula abdul duet,the wild pair,,,
3,24-Feb-90,Opposites Attract,paula abdul duet,the wild pair,,,
3,3-Mar-90,Opposites Attract,paula abdul duet,the wild pair,,,
3,10-Mar-90,Opposites Attract,paula abdul duet,the wild pair,,,
3,17-Mar-90,C Mon And Get My Love,d-mob,cathy dennis,,,
3,26-May-90,This Old Heart Of Mine,rod stewart,ronald isley,,,
3,30-Jun-90,She Ain t Worth It,glenn medeiros,bobby brown,,,
3,7-Jul-90,She Ain t Worth It,glenn medeiros,bobby brown,,,
3,14-Jul-90,She Ain t Worth It,glenn medeiros,bobby brown,,,
3,21-Jul-90,She Ain t Worth It,glenn medeiros,bobby brown,,,
3,28-Jul-90,She Ain t Worth It,glenn medeiros,bobby brown,,,
3,4-Aug-90,She Ain t Worth It,glenn medeiros,bobby brown,,,
3,11-Aug-90,She Ain t Worth It,glenn medeiros,bobby brown,,,
3,8-Dec-90,Tom s Diner,dna,suzanne vega,,,
3,15-Dec-90,Tom s Diner,dna,suzanne vega,,,
3,22-Dec-90,Tom s Diner,dna,suzanne vega,,,
3,29-Dec-90,Tom s Diner,dna,suzanne vega,,,
3,5-Jan-91,Tom s Diner,dna,suzanne vega,,,
3,12-Jan-91,Tom s Diner,dna,suzanne vega,,,
3,20-Apr-91,Here We Go,c+c music factory,f. williams,,,
3,27-Apr-91,Here We Go,c+c music factory,f. williams,,,
3,4-May-91,Here We Go,c+c music factory,f. williams,,,
3,11-May-91,Here We Go,c+c music factory,f. williams,,,
3,18-May-91,Here We Go,c+c music factory,f. williams,,,
3,25-May-91,Here We Go,c+c music factory,f. williams,,,
3,26-Oct-91,Cream,prince,the n.p.g.,,,
3,2-Nov-91,Cream,prince,the n.p.g.,,,
3,9-Nov-91,Cream,prince,the n.p.g.,,,
3,9-Nov-91,Set The Night To Music,roberta flack,maxi priest,,,
3,16-Nov-91,Cream,prince,the n.p.g.,,,
3,16-Nov-91,Set The Night To Music,roberta flack,maxi priest,,,
3,23-Nov-91,Cream,prince,the n.p.g.,,,
3,23-Nov-91,Set The Night To Music,roberta flack,maxi priest,,,
3,30-Nov-91,Cream,prince,the n.p.g.,,,
3,7-Dec-91,Cream,prince,the n.p.g.,,,
3,11-Jan-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,18-Jan-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,18-Jan-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,25-Jan-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,25-Jan-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,1-Feb-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,1-Feb-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,8-Feb-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,8-Feb-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,15-Feb-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,15-Feb-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,22-Feb-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,22-Feb-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,29-Feb-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,29-Feb-92,Don t Let The Sun Go Down On Me,george michael,elton john,,,
3,7-Mar-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,14-Mar-92,Diamonds And Pearls,prince,the n.p.g.,,,
3,4-Apr-92,Beauty And The Beast,celine dion,peabo bryson,,,
3,18-Apr-92,Beauty And The Beast,celine dion,peabo bryson,,,
3,13-Jun-92,The Best Things In Life Are Free,luther vandross,janet jackson,,,
3,20-Jun-92,The Best Things In Life Are Free,luther vandross,janet jackson,,,
3,27-Jun-92,The Best Things In Life Are Free,luther vandross,janet jackson,,,
3,15-Aug-92,Move This,technotronic,ya kid k,,,
3,5-Sep-92,Move This,technotronic,ya kid k,,,
3,12-Sep-92,Move This,technotronic,ya kid k,,,
3,30-Jan-93,7,prince,the new power generation,,,
3,6-Feb-93,7,prince,the new power generation,,,
3,13-Feb-93,7,prince,the new power generation,,,
3,20-Feb-93,7,prince,the new power generation,,,
3,27-Feb-93,7,prince,the new power generation,,,
3,10-Apr-93,"Love Is (From ""Beverly Hills, 90210"")",vanessa williams,brian mcknight,,,
