artist,num
lil wayne,16
ludacris,16
rihanna,14
t-pain,14
kanye west,11
nelly,11
drake,10
jay-z,10
lil jon,9
50 cent,9
nicki minaj,9
puff daddy,9
akon,9
justin timberlake,9
pitbull,8
ja rule,8
usher,8
eminem,8
snoop dogg,8
ciara,8
