artist,num,lead
rihanna,154,91
ludacris,152,37
usher,128,91
nelly,127,91
t-pain,123,44
kanye west,107,34
lil jon,98,39
akon,97,37
pitbull,91,48
lil wayne,90,27
snoop dogg,87,27
ja rule,86,51
jay-z,83,24
50 cent,79,31
justin timberlake,78,27
t.i.,75,31
jennifer lopez,73,71
ciara,71,47
timbaland,70,51
bruno mars,69,0
