artist,num
rihanna,91
ludacris,37
usher,91
nelly,91
t-pain,44
kanye west,34
lil jon,39
akon,37
pitbull,48
lil wayne,27
snoop dogg,27
ja rule,51
jay-z,24
50 cent,31
justin timberlake,27
t.i.,31
jennifer lopez,71
ciara,47
timbaland,51
bruno mars,0
