date,rank,title,artist,collab
3/24/90,3,Escapade,Janet Jackson,
3/24/90,4,Roam,The B-52 s,
3/24/90,5,I Wish It Would Rain Down,Phil Collins,
3/24/90,6,I ll Be Your Everything,Tommy Page,
3/24/90,7,All Around The World,Lisa Stansfield,
3/24/90,8,I Go To Extremes,Billy Joel,
3/24/90,9,Keep It Together,Madonna,
3/24/90,10,Get Up! (Before The Night Is Over),Technotronic,
3/31/90,1,Black Velvet,Alannah Myles,
3/31/90,2,Love Will Lead You Back,Taylor Dayne,
3/31/90,3,I Wish It Would Rain Down,Phil Collins,
3/31/90,4,I ll Be Your Everything,Tommy Page,
3/31/90,5,All Around The World,Lisa Stansfield,
3/31/90,6,Don t Wanna Fall In Love,Jane Child,
3/31/90,7,Escapade,Janet Jackson,
3/31/90,8,Keep It Together,Madonna,
3/31/90,9,Get Up! (Before The Night Is Over),Technotronic,
3/31/90,10,Here And Now,Luther Vandross,
4/7/90,1,Love Will Lead You Back,Taylor Dayne,
4/7/90,2,I ll Be Your Everything,Tommy Page,
4/7/90,3,All Around The World,Lisa Stansfield,
4/7/90,4,I Wish It Would Rain Down,Phil Collins,
4/7/90,5,Black Velvet,Alannah Myles,
4/7/90,6,Don t Wanna Fall In Love,Jane Child,
4/7/90,7,Get Up! (Before The Night Is Over),Technotronic,
4/7/90,8,Here And Now,Luther Vandross,
4/7/90,9,Nothing Compares 2 U,Sinead O Connor,
4/7/90,10,Forever,Kiss,
4/14/90,1,I ll Be Your Everything,Tommy Page,
4/14/90,2,Don t Wanna Fall In Love,Jane Child,
4/14/90,3,All Around The World,Lisa Stansfield,
4/14/90,4,Nothing Compares 2 U,Sinead O Connor,
4/14/90,5,Love Will Lead You Back,Taylor Dayne,
4/14/90,6,I Wanna Be Rich,Calloway,
4/14/90,7,Here And Now,Luther Vandross,
4/14/90,8,Get Up! (Before The Night Is Over),Technotronic,
4/14/90,9,Forever,Kiss,
4/14/90,10,Black Velvet,Alannah Myles,
4/21/90,1,Nothing Compares 2 U,Sinead O Connor,
4/21/90,2,Don t Wanna Fall In Love,Jane Child,
4/21/90,3,All Around The World,Lisa Stansfield,
4/21/90,4,I Wanna Be Rich,Calloway,
4/21/90,5,I ll Be Your Everything,Tommy Page,
4/21/90,6,Here And Now,Luther Vandross,
4/21/90,7,How Can We Be Lovers,Michael Bolton,
4/21/90,8,Forever,Kiss,
4/21/90,9,Without You,Motley Crue,
4/21/90,10,"Whole Wide World (From ""True Love"")",A me Lorain,
4/28/90,1,Nothing Compares 2 U,Sinead O Connor,
4/28/90,2,Don t Wanna Fall In Love,Jane Child,
4/28/90,3,I Wanna Be Rich,Calloway,
4/28/90,4,All Around The World,Lisa Stansfield,
4/28/90,5,How Can We Be Lovers,Michael Bolton,
4/28/90,6,Whip Appeal,Babyface,
4/28/90,7,Here And Now,Luther Vandross,
4/28/90,8,Without You,Motley Crue,
4/28/90,9,"Whole Wide World (From ""True Love"")",A me Lorain,
4/28/90,10,All I Wanna Do Is Make Love To You,Heart,
5/5/90,1,Nothing Compares 2 U,Sinead O Connor,
5/5/90,2,I Wanna Be Rich,Calloway,
5/5/90,3,How Can We Be Lovers,Michael Bolton,
5/5/90,4,Vogue,Madonna,
5/5/90,5,All I Wanna Do Is Make Love To You,Heart,
5/5/90,6,Don t Wanna Fall In Love,Jane Child,
5/5/90,7,Whip Appeal,Babyface,
5/5/90,8,All Around The World,Lisa Stansfield,
5/5/90,9,What It Takes,Aerosmith,
5/5/90,10,Alright,Janet Jackson,
5/12/90,1,Nothing Compares 2 U,Sinead O Connor,
5/12/90,2,Vogue,Madonna,
5/12/90,3,I Wanna Be Rich,Calloway,
5/12/90,4,All I Wanna Do Is Make Love To You,Heart,
5/12/90,5,How Can We Be Lovers,Michael Bolton,
5/12/90,6,Hold On,Wilson Phillips,
5/12/90,7,Sending All My Love,Linear,
5/12/90,8,Alright,Janet Jackson,
5/12/90,9,What It Takes,Aerosmith,
5/12/90,10,Poison,Bell Biv Devoe,
5/19/90,1,Vogue,Madonna,
5/19/90,2,Nothing Compares 2 U,Sinead O Connor,
5/19/90,3,All I Wanna Do Is Make Love To You,Heart,
5/19/90,4,Hold On,Wilson Phillips,
5/19/90,5,Sending All My Love,Linear,
5/19/90,6,Alright,Janet Jackson,
5/19/90,7,I Wanna Be Rich,Calloway,
5/19/90,8,Poison,Bell Biv Devoe,
5/19/90,9,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
5/19/90,10,What It Takes,Aerosmith,
5/26/90,1,Vogue,Madonna,
5/26/90,2,All I Wanna Do Is Make Love To You,Heart,
5/26/90,3,Nothing Compares 2 U,Sinead O Connor,
5/26/90,4,Hold On,Wilson Phillips,
5/26/90,5,Alright,Janet Jackson,
5/26/90,6,Poison,Bell Biv Devoe,
5/26/90,7,Sending All My Love,Linear,
5/26/90,8,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
5/26/90,9,U Can t Touch This,M.C. Hammer,
5/26/90,10,This Old Heart Of Mine,Rod Stewart With Ronald Isley,
6/2/90,1,Vogue,Madonna,
6/2/90,2,All I Wanna Do Is Make Love To You,Heart,
6/2/90,3,Hold On,Wilson Phillips,
6/2/90,4,Alright,Janet Jackson,
6/2/90,5,Poison,Bell Biv Devoe,
6/2/90,6,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
6/2/90,7,Nothing Compares 2 U,Sinead O Connor,
6/2/90,8,Sending All My Love,Linear,
6/2/90,9,U Can t Touch This,M.C. Hammer,
6/2/90,10,Ooh La La (I Can t Get Over You),Perfect Gentlemen,
6/9/90,1,Hold On,Wilson Phillips,
6/9/90,2,Vogue,Madonna,
6/9/90,3,Poison,Bell Biv Devoe,
6/9/90,4,All I Wanna Do Is Make Love To You,Heart,
6/9/90,5,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
6/9/90,6,Alright,Janet Jackson,
6/9/90,7,Sending All My Love,Linear,
6/9/90,8,Step By Step,New Kids On The Block,
6/9/90,9,U Can t Touch This,M.C. Hammer,
6/9/90,10,Nothing Compares 2 U,Sinead O Connor,
6/16/90,1,"It Must Have Been Love (From ""Pretty Woman"")",Roxette,
6/16/90,2,Hold On,Wilson Phillips,
6/16/90,3,Poison,Bell Biv Devoe,
6/16/90,4,Step By Step,New Kids On The Block,
